,time,price
103,2024-04-29 11:46:00.000000+05:45,1985.73
104,2024-04-29 11:46:00.000000+05:45,1986.23
105,2024-04-29 11:47:00.000000+05:45,1985.22
106,2024-04-29 11:47:00.000000+05:45,1985.22
107,2024-04-29 11:48:00.000000+05:45,1985.03
108,2024-04-29 11:48:00.000000+05:45,1985.41
109,2024-04-29 11:49:00.000000+05:45,1985.25
110,2024-04-29 11:49:00.000000+05:45,1985.38
111,2024-04-29 11:50:00.000000+05:45,1985.42
112,2024-04-29 11:50:00.000000+05:45,1985.42
113,2024-04-29 11:51:00.000000+05:45,1984.81
114,2024-04-29 11:51:00.000000+05:45,1985.22
115,2024-04-29 11:52:00.000000+05:45,1985.43
116,2024-04-29 11:52:00.000000+05:45,1985.48
117,2024-04-29 11:53:00.000000+05:45,1985.47
118,2024-04-29 11:53:00.000000+05:45,1985.64
119,2024-04-29 11:54:00.000000+05:45,1985.47
120,2024-04-29 11:54:00.000000+05:45,1985.48
121,2024-04-29 11:55:00.000000+05:45,1985.69
122,2024-04-29 11:55:00.000000+05:45,1985.69
123,2024-04-29 11:56:00.000000+05:45,1984.62
124,2024-04-29 11:56:00.000000+05:45,1984.78
125,2024-04-29 11:57:00.000000+05:45,1984.13
126,2024-04-29 11:57:00.000000+05:45,1984.13
127,2024-04-29 11:58:00.000000+05:45,1983.33
128,2024-04-29 11:58:00.000000+05:45,1983.33
129,2024-04-29 11:59:00.000000+05:45,1982.81
130,2024-04-29 11:59:00.000000+05:45,1982.81
131,2024-04-29 12:00:00.000000+05:45,1982.16
132,2024-04-29 12:00:00.000000+05:45,1982.16
133,2024-04-29 12:01:00.000000+05:45,1981.52
134,2024-04-29 12:01:00.000000+05:45,1981.52
135,2024-04-29 12:02:00.000000+05:45,1980.57
136,2024-04-29 12:02:00.000000+05:45,1980.57
137,2024-04-29 12:03:00.000000+05:45,1979.58
138,2024-04-29 12:03:00.000000+05:45,1979.61
139,2024-04-29 12:04:00.000000+05:45,1978.89
140,2024-04-29 12:04:00.000000+05:45,1978.92
141,2024-04-29 12:05:00.000000+05:45,1978.79
142,2024-04-29 12:05:00.000000+05:45,1978.79
143,2024-04-29 12:06:00.000000+05:45,1978.45
144,2024-04-29 12:06:00.000000+05:45,1978.53
145,2024-04-29 12:07:00.000000+05:45,1978.54
146,2024-04-29 12:07:00.000000+05:45,1978.56
147,2024-04-29 12:08:00.000000+05:45,1978.23
148,2024-04-29 12:08:00.000000+05:45,1978.43
149,2024-04-29 12:09:00.000000+05:45,1978.37
150,2024-04-29 12:09:00.000000+05:45,1978.69
151,2024-04-29 12:10:00.000000+05:45,1979.19
152,2024-04-29 12:10:00.000000+05:45,1979.53
153,2024-04-29 12:11:00.000000+05:45,1979.66
154,2024-04-29 12:11:00.000000+05:45,1979.73
155,2024-04-29 12:12:00.000000+05:45,1980.56
156,2024-04-29 12:12:00.000000+05:45,1980.63
157,2024-04-29 12:13:00.000000+05:45,1980.26
158,2024-04-29 12:13:00.000000+05:45,1980.26
159,2024-04-29 12:14:00.000000+05:45,1979.76
160,2024-04-29 12:14:00.000000+05:45,1980.32
161,2024-04-29 12:15:00.000000+05:45,1980.39
162,2024-04-29 12:15:00.000000+05:45,1980.85
163,2024-04-29 12:16:00.000000+05:45,1980.66
164,2024-04-29 12:16:00.000000+05:45,1980.72
165,2024-04-29 12:17:00.000000+05:45,1980.68
166,2024-04-29 12:17:00.000000+05:45,1980.9
167,2024-04-29 12:18:00.000000+05:45,1980.9
168,2024-04-29 12:18:00.000000+05:45,1980.97
169,2024-04-29 12:19:00.000000+05:45,1980.31
170,2024-04-29 12:19:00.000000+05:45,1980.32
171,2024-04-29 12:20:00.000000+05:45,1979.8
172,2024-04-29 12:20:00.000000+05:45,1980.02
173,2024-04-29 12:21:00.000000+05:45,1980.02
174,2024-04-29 12:21:00.000000+05:45,1980.02
175,2024-04-29 12:22:00.000000+05:45,1979.68
176,2024-04-29 12:22:00.000000+05:45,1979.68
177,2024-04-29 12:23:00.000000+05:45,1979.21
178,2024-04-29 12:23:00.000000+05:45,1979.21
179,2024-04-29 12:24:00.000000+05:45,1978.52
180,2024-04-29 12:24:00.000000+05:45,1978.85
181,2024-04-29 12:25:00.000000+05:45,1978.84
182,2024-04-29 12:25:00.000000+05:45,1978.84
183,2024-04-29 12:26:00.000000+05:45,1977.87
184,2024-04-29 12:26:00.000000+05:45,1977.88
185,2024-04-29 12:27:00.000000+05:45,1977.77
186,2024-04-29 12:27:00.000000+05:45,1977.84
187,2024-04-29 12:28:00.000000+05:45,1977.8
188,2024-04-29 12:28:00.000000+05:45,1978.04
189,2024-04-29 12:29:00.000000+05:45,1978.07
190,2024-04-29 12:29:00.000000+05:45,1978.4
191,2024-04-29 12:30:00.000000+05:45,1978.56
192,2024-04-29 12:30:00.000000+05:45,1978.57
193,2024-04-29 12:31:00.000000+05:45,1978.28
194,2024-04-29 12:31:00.000000+05:45,1978.97
195,2024-04-29 12:32:00.000000+05:45,1979.09
196,2024-04-29 12:32:00.000000+05:45,1979.09
197,2024-04-29 12:33:00.000000+05:45,1978.81
198,2024-04-29 12:33:00.000000+05:45,1979.01
199,2024-04-29 12:34:00.000000+05:45,1979.2
200,2024-04-29 12:34:00.000000+05:45,1979.56
201,2024-04-29 12:35:00.000000+05:45,1979.59
202,2024-04-29 12:35:00.000000+05:45,1979.71
203,2024-04-29 12:36:00.000000+05:45,1978.94
204,2024-04-29 12:36:00.000000+05:45,1978.94
205,2024-04-29 12:37:00.000000+05:45,1978.07
206,2024-04-29 12:37:00.000000+05:45,1978.07
207,2024-04-29 12:38:00.000000+05:45,1977.83
208,2024-04-29 12:38:00.000000+05:45,1977.85
209,2024-04-29 12:39:00.000000+05:45,1977.78
210,2024-04-29 12:39:00.000000+05:45,1977.78
211,2024-04-29 12:40:00.000000+05:45,1978.07
212,2024-04-29 12:40:00.000000+05:45,1978.48
213,2024-04-29 12:41:00.000000+05:45,1978.25
214,2024-04-29 12:41:00.000000+05:45,1978.25
215,2024-04-29 12:42:00.000000+05:45,1977.78
216,2024-04-29 12:42:00.000000+05:45,1977.85
